Index,INSURED_NM,INSURED_ADDR_LN_1,INSURED_ADDR_LN_2,INSURED_CTY_NM,INSURED_CNTY_NM,INSURED_ST_CDE,INSURED_ZIP_CDE,NAICS Code,NAICS Description,Insured Website,description
20,"William Morris Home Fashions, Inc",1811 Crestwood Blvd,,Irondale,JEFFERSON,AL,35210,423220,Home Furnishing Merchant Wholesalers,,
21,"Alabama Policy Institute, Inc.",2213 Morris Ave,1st Floor,Birmingham,JEFFERSON,AL,35203,541820,Public Relations Agencies,,
24,"Transformus, LLC",4701 Brigadoon Dr,,Durham,DURHAM,NC,27705,711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",,
25,"Lacoco's Pizza & Pasta, Inc.",3350 West 47th Street,,Chicago,COOK,IL,60632,722410,Drinking Places (Alcoholic Beverages),maddanthonysbar.com,"Hmm, the user wants me to summarize a business from website text in one concise sentence with no extra commentary."
26,"Lacoco's Pizza & Pasta, Inc.",3350 West 47th Street,,Chicago,COOK,IL,60632,722511,Full-Service Restaurants,maddanthonysbar.com,"Hmm, the user wants me to summarize a business from website text in one concise sentence with no extra commentary."
27,"Henig Furs, Inc.",4135 Carmichael Road,,Montgomery,MONTGOMERY,AL,36106,448190,Other Clothing Stores,https://www.henigfurs.com/,"Hmm, the user wants me to summarize a business website in one concise sentence without any extra commentary."
30,"Seoyon E-HWA Manufacturing Auburn, Inc.",217 Thweatt Industrial Blvd,,Dadeville,TALLAPOOSA,AL,36853,336390,Other Motor Vehicle Parts Manufacturing,belite.co.kr,"Hmm, the user wants me to summarize a Korean business website in one concise sentence without any extra commentary."
31,"Seoyon E-HWA Manufacturing Auburn, Inc.",217 Thweatt Industrial Blvd,,Dadeville,TALLAPOOSA,AL,36853,336112,Light Truck and Utility Vehicle Manufacturing,belite.co.kr,"Okay, the user wants a one-sentence summary of this business from the website text."
33,Ian Garinger Consulting LLC,20 Pennbrook Ct,,Boonton,MORRIS,NJ,7005,541512,Computer Systems Design Services,,
34,Danson Construction LLC,2624 W Lone Cactus Drive,,Phoenix,MARICOPA,AZ,85027,236220,Commercial and Institutional Building Construction,dansonbldg.com,"Hmm, the user wants me to summarize a business website in one concise sentence without any extra commentary."
36,DAK Equipment & Engineering Co.,857 N. Larch Avenue,,Elmhurst,DUPAGE,IL,60126,423440,Other Commercial Equipment Merchant Wholesalers,www.dakequipment.com,"Hmm, the user wants me to summarize a business website in one concise sentence without any extra commentary."
37,Arrowhead Country Club,50 Ocala Dr.,,Montgomery,MONTGOMERY,AL,36117,713910,Golf Courses and Country Clubs,https://www.arrowheadcountryclub.net/,"Hmm, the user wants me to summarize a business description in one concise sentence without any extra commentary."
38,"Dream Court, Inc.",3027 Cloverdale Road,,Montgomery,MONTGOMERY,AL,36106,611620,Sports and Recreation Instruction,,
39,Alpine Limousine Services Inc,17791 Litten Drive,,Boca Raton,PALM BEACH,FL,33498,485320,Limousine Service,www.alpinelimonyc.com,"Hmm, the user wants me to summarize a business website in one concise sentence without any extra commentary."
40,Lachman imports inc,230 Fifth Avenue,Suite 900,New York,MANHATTAN,NY,10001,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",www.guinotusa.com,"Hmm, the user wants me to summarize a business website in one concise sentence without any extra commentary."
41,"REM Directional, Inc",13286 County Road 20,,Boligee,GREENE,AL,35443,237990,Other Heavy and Civil Engineering Construction,remdirectional.com,"Hmm, the user wants me to summarize a business from website text in one concise sentence."
44,"Georgia Ag Services, LLC",1642 Peterson Avenue S,,Douglas,FULTON,GA,31534,484220,"Specialized Freight (except Used Goods) Trucking, Local",,
45,"Glenn Gorab, DDS, Vito Modugno, DDS",1439 Broad St,,Clifton,PASSAIC,NJ,7013,813410,Civic and Social Organizations,cliftonoms.com,"Okay, the user wants me to summarize a website's business in one sentence based on the provided text."
46,Gross Motors Inc,404 East Division Street,,Neillsville,CLARK,WI,54456,441110,New Car Dealers,www.grossauto.com,"Hmm, the user wants me to summarize a business website in one concise sentence without any extra commentary."
47,Net Health Shops LLC,5730 Venture Drive,,Eau Claire,EAU CLAIRE,WI,54703,454110,Electronic Shopping and Mail-Order Houses,serenityhealth.com,"Hmm, the user wants me to summarize a business from website text in one concise sentence without any extra commentary."
